text,label
saudara yg muslim sabar yah kristen percaya bnyak ust yg jujur yg hati lurussaya doa rugi d ganti tuhantapi coba percaya percaya orang terkadang manusia casing bagus nya amburadul,1
katolik percaya tdk ust ymsaya bnyak ust yg jujur tulus ikhlas layan umatnyabtw salah agama salah orang salam toleransi,1
salah agama salah orang,0
kristensaya prihatin berita muka agama yg hati bersih tulus muslim moga tdk yg mjd korban tipu ust moga ajar ustad yg jujur salam toleransi,1
mudahmudahan allah lindung ustadz angkat uji timpa amin,1
alam mudah percaya waspada bromana cari uang mudah dg untung lipat lipat kayak orang lipat kain,1
orang kristen hati beritegritas kualitas ku orang muslim moga kelak ustad hikmah tobat salam toleransi ntt sumba,1
harga ustad kampung orang beril agama bicara santun gelimang harta,0
agama salah salah oknum moga beliau hidayah allah swt korban hak adil selesai jalan damai hukum negara jalan yg beliau hak hakim orang nyata beliau salah doa hukum jalan,0
terkadang allah titip harta kabul doa coba istiqamah moga lindung allah,1
kristen salah agama yg salah pribadi,0
harga orang adab beril beril iblis ilmu manusiasyech abdul qadir jaelani,0
allah yg sembunyi,0
umat katolik tp suka dengar dakwah dr beliau masuk almarhum kiyai haji zainuddin mz yg inspirasi moga damai umat agama negara jaga,1
negara nkri nama kebal hukum orang langgar hukum ustadz pendeta rakyat langgar hukum urus polisi penjara,0
tegar saudara ku yg agama muslimbiarkan tuhan hukum kelak salam nasrani damai hati,1
moga allah hidayah umat nya dosa,1
kristen bilang salah agama salah pribadi sifat,0
terkadang orang jahat cipta orang milik dendam orang cipta orang jahat sesal,1
tipu kedok agama ya saudara salah agama orang ayo tegak hukum tegak hukum seadiladilnya,0
hebat orang indonesia toleransi nya umat agama,0
non muslim pling suka alm uje ngefans bgt sm beliau ustad ulama yg jujur jalan tuhan,1
sedih lihat dengar harta buta tulus buah hati tolong agama katolik gang sederhana gereja prihatin utama agama islam imam muslim moga kuat tabah karna harta kaya bumi habis salam toleransi,0
salah agama orang,0
bukti manusia dosa kecuali bayi orang dewasa melakuian dosa,0
kristen tp percaya tdk ustad ustad ym yg tulus layan umat amin amin,0
subhanallahsedekah sdh tuntun rasulullah salallahu alayhi wassalamjangan salah guru dlm cari ilmujangan salah islam salah orang,1
moga saudara yg korban kati tuhan ikan rezeki yg lagisemoga oknum yg tipu balut agama tobatdan ikan wawas yg luas biar jebak,1
orang adap beril orang beril adap jgn liat ilmu mulut liat ilmu yg dpt rubah jiwa cipta jgn nurani qt sesat bingung yg keliru,1
agama ajar keburu orang yg lupa terimakasih,0
astaghfirullah sempurna milik allah syukur allah tutup aib dasar manusia lumur dosa,1
kondang usaha libat aja gali kubur kaya libat orang investor milioder udh yg tipu bagus sih guys nipunya ga tanggung genks tangkap polisi tuh wkwkkwkwk,0
tanam sedekah niat mmg harap ridho allahdan balas akhirat niat sedekah sholawatan biar dpt rezeki yg sdh sedekah sedekah niat duniawi yg salahwallahualam ajar orang islam yg fakir ilmu milih ustadzulama ambil ilmunyasemoga yg fakir ilmu agama islam lindung allahaamiin,0
moga yg korban ganti rejekinya jalan lainamiin,1
moga ustadz allah mudah d jalan allah,1
kristen kenal ustad milik hati bangun umat pribadi semangat saudara ku umat muslim,1
biar allah nilai niat,1
ya manteman salah agama salah orang nya moga beliau ketuk pintu hati nya,1
yusuf mansur ustad tipu ayat suciwalaupun muslim pribadi temu ustad ramah bawa sejuk lihat hidup sederhana taat ibadah hidup glamor respect cinta teman muslim moga korban yusuf mansur rezeki yusuf mansur tegur tuhan yme terang gereja pendeta pandang jemaah sumber hasil jamaah jemaat cerdas pikir logis,0
salam toleransi non muslim msih bnyak ustad yg tulus nkri,1
orang cerdas tingkat paham agama goda mewah tawar duniawi gelap mata beliau awam paham agama semgoa jalan allah swt aamiin,0
kilau duniawi gelap mata peduli muka agama orang awamsemoga jahat,1
kampung kiyai yg hidup sederhana tulusmengajari jamaah islam pamrih,1
ajar mending orang butuh langsung manusia percaya muka busuk hati,0
zaman udah tau keburu dosa keburu laku pakai hukum syar tangan potongsemoga beliau tobat allah,0
umat islam cerdas beda sedekah investasi campur aduk sedekah ya ibadah ikhlas gak paksa berharaf mah allah kuasa,1
moga kali adil tega,1
moga orang yg syukur rizqi yg allah swt berikandan jaga iman goda setan yg kutuk,1
gelimpang harta derita umatmasya allah,0
almarhum guru ngaji panggilanny babeh dlu ngajar ngaji gratis mesjid babeh sabar suara lembut istri jual nasi uduk rumah rajin masjid subuh yg anak udh jd hafal quran istri adem lihat sederhana beli nasi uduk istri babeh ditambahin bihun yg buanyaaak bgt karna tau suka bihun hihi percaya bgt sm muka agama yg ga duniawi sederhana manfaat krna tau dunia alfatihah alm babeh,1
moga jalan yg aamiin,1
orang muslim senang orang yg salah hukum agama krn agama ajar,1
kuat kuat nya iman iblis goda manusia orang paham agama rasulullah saw manusia muka bumi jujur bijaksana rendah hati marah benci,1
allah kalang hamba nya lena harta,1
ustadkyaihabaib lembut ustadkyaihabaib keras jahat karna allah milik hati seseorangterimakasih ustad berkat tau moga allah bimbing jalan ameen,1
allah zat yg maha sempurna,1
sedekah org bantu sodaramu tetangga teman yg lihat susah butuh bantu,1
indah umat manusia,1
moga laknat allah timpa yg ambil untung kedok agama,0
sabar ajar moga jalan rugi agama ajar tipu cuman manusia salah,1
yg titip titip yg tanggung tinggal gantung yg jalan moga lindung sifat buruk aamiin,1
astaghfirullah moga kaum muslimin bersabarini jngan salah agama nya orang yg mnjalan nya yg salah,1
thanks saudara n teman yg agama non muslim krna udh dukung yg muslim konteks salah agama tp salah orgnya dukung tega hukum yg jujur lawan hukum moga hukum yg sabar keluarga,1
hati hati zaman orang kedok orang baiksemoga orang orang yg kedok nyata hati,1
mewah dunia ahklak baginda nabi muhammad sawmoga ms indonesia ulama yg istiqomah dlm dakwah,1
orang kristenagama salah yg lihat orang sudut pandang yg lihatkita ajar alam yg inisupaya hati hati,1
agama katolik prihatin orangorang jual agama islam untung pribadigolongan video oknum agama semangat saudarasaudaraku agama islam ustad kyai ulama umat islam jebak jual agama untung pribadi salam damai toleransi,1
percaya allah swt biar jahat cepat lambat lihat allah swt,1
negara negara hukum terap azas praduga salah biar hakim putus uym salah moga hikmah aminn,1
islam kaya harta kaya hati kaya akhirat aminn,1
bangga baca komenanyayg non muslimjustru semangat kaum muslimtidak anarkis agamaallah maha besarr,1
sungguh yg mewah panutan muslim sederhana yg jd panutan agama islam tdk salah dlm tuntun ummatnya,1
ajar semuanyajika sedekah orang laincukup,1
son unos de los mejores conciertos likeexuno los mortales abian apreciado tan hermosa mujer,1
terima kasih dukung bijak saudara ku non muslim masyarakat pintar yg yg moga spt tdk masuk agama,1
tangakap si mansyur kedok sedekah nama agama islam malu tangkap penjara umur hidup sita harta nya miskin harta nya,0
salah agama salah identitas nilai keburu busuk hati,0
prihatin syukur non muslim lihat segi positif hujat moga umat muslimsaling harga support,0
proses laku sesuai hukum salah laku kait agama,0
moga ust mansur selesai korban investasi terima hak,1
moga yg capai belah pihakkekayaan mewah salah tanda cinta dunia,1
iya manusia uji iman kecuali selagi manusia smua kena goda sabar usaha laku mata alloh swt alloh tidur bohong hadap manusia alloh maha kelak tanggung,1
non muslim ustadz yg jujur agama jual agama,1
sungguh allah maha lihat maha tahuallah yg yg salah,1
butuh harta benda cinta harta hina mata tutup harta butaakhirnya langkah tuju badai sengsara nyatasemoga rizqi barokah,1
moga rizki halal jalan lurus,1
nilai orang tampil nya mata tuhan,1
ambil hak,1
moga cepat selesai korban sabar hak tuntut wajib lunas wajib damai,1
proses usaha rugi orang nikmat,1
sabar saudara bangsa beda agama tp jgn salah agama salah orgnya individu krna agama sungguh sll ajar yg jujur salam sayang toleransi,1
umat muslim sabar hindu percaya ust jujur hati lurus doa rugi ganti tuhan coba berfikir langsung putus mudah,1
ingett salah agama nya salah sifat orang nya agama ajar,1
moga ustad sesat si ucup yg korban si ucup moga kuat iman amin,0
milik allahallah jaga agama dr fitnah zoliman makhluk nyasemoga meberikan hidayah umat,1
